           1  0.561574757    
           2  0.661580265    
           3  0.798677325    
           4  0.954227865    
           5   1.11728311    
           6   1.28143585    
           7   1.44263136    
           8   1.59805715    
           9   1.74560010    
          10   1.88357759    
          11   2.01059628    
          12   2.12547946    
          13   2.22722435    
          14   2.31498051    
          15   2.38803649    
          16   2.44581342    
          17   2.48785949    
          18   2.51385021    
          19   2.52358603    
          20   2.51699281    
          21   2.49412060    
          22   2.45514488    
          23   2.40036631    
          24   2.33021116    
          25   2.24523497    
